time,speed,y4,y6,y8,y10,eps4,eps6,eps8,eps10,sigma_y4,sigma_y6,sigma_y8,sigma_y10,sigma_eps4,sigma_eps6,sigma_eps8,sigma_eps10,K4,K6,K8,K10,delta_f,L
0.56,1.65525509395602E-06,-0.0085989135571,-0.008573934148222,-0.008548954740623,-0.008523975331694,1.24897067321617E-05,1.24897067321617E-05,1.24897067321617E-05,1.24897067321617E-05,0.0010086985,0.0010083931,0.0010179915,0.0010256987,0.0010020625,0.0010236781,0.0010051297,0.0010132344,0,0,0,0,-0.002073045781789,8
0.58,1.66708709644348E-06,-0.008600819785212,-0.008575839815282,-0.008550859846044,-0.008525879878025,1.24899822913469E-05,1.24899822913469E-05,1.24899822913469E-05,1.24899822913469E-05,0.0010082492,0.0010076999,0.0010171499,0.0010233929,0.0010019487,0.0010224875,0.0010047391,0.0010125841,0,0,0,0,-0.002254112026147,8
0.6,1.64907922298782E-06,-0.008601772280854,-0.008576791722292,-0.008551811164044,-0.008526830604999,1.24902845105596E-05,1.24902845105596E-05,1.24902845105596E-05,1.24902845105596E-05,0.001008467,0.001008189,0.0010174286,0.0010247758,0.0010019658,0.0010232242,0.0010049876,0.0010129539,0,0,0,0,-0.002000469745372,8
0.62,1.67671432656189E-06,-0.008603201613476,-0.008578220465697,-0.008553239317928,-0.008528258169572,1.2490577833979E-05,1.2490577833979E-05,1.2490577833979E-05,1.2490577833979E-05,0.0010083244,0.0010078348,0.0010175431,0.0010241222,0.0010019836,0.0010228213,0.0010049184,0.0010128671,0,0,0,0,-0.002182075176634,8
0.64,1.5611789713596E-06,-0.00860415409815,-0.008579172355475,-0.00855419061136,-0.008529208870953,1.24908711505103E-05,1.24908711505103E-05,1.24908711505103E-05,1.24908711505103E-05,0.0010080351,0.0010075286,0.0010169601,0.0010228459,0.0010019045,0.0010224254,0.0010047347,0.0010123966,0,0,0,0,-0.001928636708794,8
0.66,1.56629904382357E-06,-0.008605583438106,-0.008580601109593,-0.008555618781643,-0.008530636453999,1.2491164460154E-05,1.2491164460154E-05,1.2491164460154E-05,1.2491164460154E-05,0.0010082109,0.0010077293,0.0010171392,0.0010240464,0.0010019392,0.0010226672,0.0010048794,0.0010128209,0,0,0,0,-0.002058673058663,8
0.68,1.46919273945339E-06,-0.008606535973737,-0.008581553076231,-0.008556570178405,-0.008531587279453,1.24914488750493E-05,1.24914488750493E-05,1.24914488750493E-05,1.24914488750493E-05,0.001008127,0.0010078466,0.0010170648,0.0010234641,0.0010019495,0.0010227149,0.0010047347,0.0010124595,0,0,0,0,-0.001769657215548,8
0.7,1.30542981131603E-06,-0.00860796537962,-0.008582981928586,-0.008557998477974,-0.008533015025361,1.2491724395804E-05,1.2491724395804E-05,1.2491724395804E-05,1.2491724395804E-05,0.0010077736,0.001007524,0.0010165798,0.0010223718,0.0010018364,0.0010220327,0.0010045202,0.0010120561,0,0,0,0,-0.001838915638218,8
0.72,1.27087056986797E-06,-0.008609394825077,-0.008584410841092,-0.008559426856315,-0.008534442873247,1.24919910230064E-05,1.24919910230064E-05,1.24919910230064E-05,1.24919910230064E-05,0.0010085786,0.0010085631,0.0010178846,0.0010258055,0.0010020552,0.001023708,0.0010050841,0.0010131686,0,0,0,0,-0.001826985683509,8
0.74,1.25020654603692E-06,-0.00861034749156,-0.008585363004465,-0.008560378516292,-0.008535394030399,1.2492248757226E-05,1.2492248757226E-05,1.2492248757226E-05,1.2492248757226E-05,0.0010081386,0.0010078348,0.0010167939,0.0010233627,0.0010019192,0.0010223433,0.0010047007,0.0010123156,0,0,0,0,-0.002249868507165,8
